Superior Court of California — County of Los Angeles — Norwalk Courthouse
12720 Norwalk Boulevard, Norwalk, CA 90650
Docket / Register of Actions — Criminal Case Summary
People of the State of California v. Raymond T. Keeler
Case No. NA123456-01
Department N-C — Hon. Marion T. Escamilla, Judge presiding
Charging Agency: Los Angeles County District Attorney's Office (Norwalk Branch)
Investigating Agency: Rivergate Police Department (Agency Report No. TC-2025-1018)
Export date: 04/06/2026    Format: comma-separated values

docket_seq,event_date,event_type,filing_party,description,disposition
11,03/13/2026,Pretrial Conference,Court,"Parties reported tentative negotiated disposition: defendant to enter plea of no contest to Count 1 (Veh. Code § 23153(a)); remaining count and enhancement allegations to be dismissed on People's motion with Harvey waiver; formal probation grant with county-jail condition; DUI-causing-injury program; license revocation; victim restitution reserved. Defense to prepare and execute Felony Advisement of Rights, Waiver, and Plea Form (LASC CRIM 100) and Conditions of Formal Probation form (LASC PROB-A)","Change-of-plea and sentencing calendared for 04/02/2026 at 8:30 a.m., Dept. N-C"
12,04/02/2026,Change of Plea,Court,"Change-of-plea hearing before Hon. Marion T. Escamilla, Dept. N-C. Appearances: for the People, DDA Priya Mahalingam; for defendant, Deputy Public Defender Adrian E. Bellamy. Defendant personally present, out of custody. Court advised defendant on the record of the nature of the charges, maximum possible sentence, direct and collateral consequences (including Pen. Code § 1016.5 immigration advisement, mandatory license revocation, loss of firearm rights, and DNA sample requirement under Pen. Code § 296). Defendant personally waived constitutional rights (jury trial, confrontation, against self-incrimination, compulsory process). Defense counsel joined waivers and stipulated to factual basis based upon police reports, LASD-SSB Certificate of Analysis dated 11/07/2025, and preliminary hearing transcript on file. Defendant withdrew previously entered plea of not guilty and entered a plea of NO CONTEST as to Count 1 (Veh. Code § 23153(a), felony). Court found the plea knowing, intelligent, and voluntary; factual basis established; plea accepted",No contest plea to Count 1 accepted; defendant adjudged GUILTY of Veh. Code § 23153(a) (felony); Harvey waiver executed for restitution purposes
13,04/02/2026,Dismissal of Remaining Counts and Enhancements,Court — on motion of the People,On motion of the People pursuant to the negotiated disposition and in the interests of justice under Pen. Code § 1385: Count 2 (Veh. Code § 23153(b)) DISMISSED; enhancement allegation A under Pen. Code § 12022.7(a) (Yolanda Reyes) DISMISSED; enhancement allegation B under Pen. Code § 12022.7(a) (Devin Cho) DISMISSED; enhancement allegation C under Pen. Code § 12022.7(a) (Alicia Mowbray) DISMISSED; enhancement allegation D under Veh. Code § 23558 (multiple victims) DISMISSED,Dismissed pursuant to Pen. Code § 1385; Harvey waiver retained
14,04/02/2026,Sentencing — Immediate Sentencing,Court,"Defendant waived referral to Probation, formal probation report, and statutory time for pronouncement of judgment (Pen. Code §§ 1191, 1203). Judgment pronounced on Count 1: imposition of sentence SUSPENDED; defendant placed on formal (supervised) probation for a term of THREE (3) YEARS on terms and conditions set forth in the Minute Order and executed Conditions of Formal Probation form (LASC PROB-A). County jail commitment of 270 days ordered as a condition of probation, with 2 days custody credit (1 actual + 1 Pen. Code § 4019 conduct). Enrollment in a licensed three-month first-offender DUI-causing-injury program under Veh. Code § 23556(b)(3), with proof of enrollment within 30 days and proof of completion prior to termination of probation. Driver's license REVOKED pursuant to Veh. Code §§ 13350 and 13352; Clerk directed to forward abstract to the Department of Motor Vehicles. Standard alcohol conditions imposed: no driving with any measurable alcohol (Veh. Code § 23600); chemical testing upon demand; no possession or consumption of alcoholic beverages; no entry into establishments where alcohol is the primary item of sale. Fourth-waiver search condition as to person, residence, vehicle, and property. No firearms (Pen. Code § 29800). No leaving California without prior written permission. DNA/fingerprints ordered (Pen. Code § 296). Financial obligations imposed: $300 restitution fine (Pen. Code § 1202.4(b)); $300 probation-revocation fine (Pen. Code § 1202.44, suspended unless probation revoked); $40 court operations assessment (Pen. Code § 1465.8); $30 conviction assessment (Gov. Code § 70373); statutory penalty assessments as required by law",Judgment entered; Felony Abstract of Judgment (Judicial Council Form CR-290) filed 04/02/2026; defendant remanded to Sheriff for delivery to Los Angeles County Jail for service of the 270-day term as a condition of probation
15,04/02/2026,Victim Restitution Reserved,Court,"Pursuant to Pen. Code § 1202.4(f) and Cal. Rules of Court, rule 4.335, direct victim restitution as to Yolanda Reyes, Devin Cho, and Alicia Mowbray RESERVED for determination at a separate restitution hearing to be set on noticed motion by the People or the Los Angeles County Probation Department. Court expressly retains jurisdiction to fix the amount and payment schedule during the probationary period and thereafter as provided by law",Restitution hearing calendared — date to be set on noticed motion; jurisdiction retained
16,04/02/2026,Progress / Compliance Review Set,Court,Progress and compliance review calendared to verify enrollment in the first-offender DUI-causing-injury program (Veh. Code § 23556(b)(3)) and general probation compliance,"Set for 10/02/2026 at 8:30 a.m., Dept. N-C"
17,04/02/2026,Appellate Advisement,Court,"Defendant advised of limited appellate rights following a plea (Pen. Code § 1237.5; Cal. Rules of Court, rule 8.304). Notice-of-appeal deadline: 60 days from entry of judgment",Advisement given on the record

End of docket — People v. Raymond T. Keeler, Case No. NA123456-01
Certified by: J. Ontiveros, Deputy Clerk of the Superior Court
